"resource_type_key","uri","label","parent_label_1","parent_label_2","parent_label_3","label_es"
739,"http://purl.org/coar/resource_type/c_93fc","REPORT","TEXT",NULL,NULL,"INFORME"
740,"http://purl.org/coar/resource_type/c_baaf","RESEARCH PROPOSAL","TEXT",NULL,NULL,"PROPUESTA DE INVESTIGACIÓN"
741,"http://purl.org/coar/resource_type/c_efa0","REVIEW","TEXT",NULL,NULL,"RESEÑA"
742,"http://purl.org/coar/resource_type/c_71bd","TECHNICAL DOCUMENTATION","TEXT",NULL,NULL,"DOCUMENTACIÓN TÉCNICA"
743,"http://purl.org/coar/resource_type/c_46ec","THESIS","TEXT",NULL,NULL,"TESIS"
744,"http://purl.org/coar/resource_type/6NC7-GK9S","TRANSCRIPTION","TEXT",NULL,NULL,"TRANSCRIPCIÓN"
745,"http://purl.org/coar/resource_type/c_8042","WORKING PAPER","TEXT",NULL,NULL,"DOCUMENTO DE TRABAJO"
746,"http://purl.org/coar/resource_type/c_18cd","MUSICAL COMPOSITION","SOUND",NULL,NULL,"COMPOSICIÓN MUSICAL"
747,"http://purl.org/coar/resource_type/c_c950","RESEARCH SOFTWARE","SOFTWARE",NULL,NULL,"SOFTWARE DE INVESTIGACIÓN"
748,"http://purl.org/coar/resource_type/QH80-2R4E","SOURCE CODE","SOFTWARE",NULL,NULL,"CÓDIGO FUENTE"
749,"http://purl.org/coar/resource_type/C53B-JCY5","DESIGN PATENT","PATENT",NULL,NULL,"PATENTE DE DISEÑO"
750,"http://purl.org/coar/resource_type/SB3Y-W4EH","PCT APPLICATION","PATENT",NULL,NULL,"PCT"
751,"http://purl.org/coar/resource_type/Z907-YMBB","PLANT PATENT","PATENT",NULL,NULL,"PATENTE DE PLANTAS"
752,"http://purl.org/coar/resource_type/GPQ7-G5VE","PLANT VARIETY PROTECTION","PATENT",NULL,NULL,"OBTENCIÓN DE VARIEDADES VEGETALES"
753,"http://purl.org/coar/resource_type/MW8G-3CR8","SOFTWARE PATENT","PATENT",NULL,NULL,"PATENTE DE SOFTWARE"
754,"http://purl.org/coar/resource_type/9DKX-KSAF","UTILITY MODEL","PATENT",NULL,NULL,"MODELO DE UTILIDAD"
755,"http://purl.org/coar/resource_type/c_7ad9","WEBSITE","INTERACTIVE RESOURCE",NULL,NULL,"SITIO WEB"
756,"http://purl.org/coar/resource_type/c_8a7e","MOVING IMAGE","IMAGE",NULL,NULL,"IMAGEN DINÁMICA"
757,"http://purl.org/coar/resource_type/c_ecc8","STILL IMAGE","IMAGE",NULL,NULL,"IMAGEN FIJA"
758,"http://purl.org/coar/resource_type/JBNF-DYAD","INDUSTRIAL DESIGN","DESIGN",NULL,NULL,"DISEÑO INDUSTRIAL"
759,"http://purl.org/coar/resource_type/BW7T-YM2G","LAYOUT DESIGN","DESIGN",NULL,NULL,"TOPOGRAFÍA DE PRODUCTOS SEMICONDUCTORES"
760,"http://purl.org/coar/resource_type/ACF7-8YT9","AGGREGATED DATA","DATASET",NULL,NULL,"DATOS AGREGADOS"
761,"http://purl.org/coar/resource_type/c_cb28","CLINICAL TRIAL DATA","DATASET",NULL,NULL,"ENSAYO CLÍNICO"
762,"http://purl.org/coar/resource_type/FXF3-D3G7","COMPILED DATA","DATASET",NULL,NULL,"DATOS COMPILADOS"
763,"http://purl.org/coar/resource_type/AM6W-6QAW","ENCODED DATA","DATASET",NULL,NULL,"DATOS CODIFICADOS"
764,"http://purl.org/coar/resource_type/63NG-B465","EXPERIMENTAL DATA","DATASET",NULL,NULL,"DATOS EXPERIMENTALES"
