Handle,Titulo,Unidad Académica,Tipo
10915/61910,Jornadas de Literatura para Niños y su Enseñanza,Facultad de Humanidades y Ciencias de la Educación,Evento
10915/48037,Jornadas de Poéticas de la Literatura Argentina para Niñ@s,Facultad de Humanidades y Ciencias de la Educación,Evento
10915/61030,Jornadas de Sociología de la UNLP,Facultad de Humanidades y Ciencias de la Educación,Evento
10915/60621,Jornadas de Trabajo sobre Exilios Políticos del Cono Sur en el siglo XX,Facultad de Humanidades y Ciencias de la Educación,Evento
10915/66227,Jornadas Estudiantiles de Investigación en Disciplinas Artísticas y Proyectuales (JEIDAP),Facultad de Bellas Artes,Evento
10915/61026,Jornadas Internas de Español como Lengua Segunda y Extranjera,Facultad de Humanidades y Ciencias de la Educación,Evento
10915/38262,Jornadas Nacionales de Investigación en Arte en Argentina,Facultad de Bellas Artes,Evento
10915/61697,Jornadas Nacionales de TIC e Innovación en el Aula,Presidencia,Evento
10915/61081,Jornadas sobre las Prácticas Docentes en la Universidad Pública,Presidencia,Evento
10915/61827,Pórtico - Encuentro de Ciencia Ficción,Facultad de Ingeniería,Evento
10915/56806,Seminario de Economía,Facultad de Ciencias Económicas,Evento
10915/33883,Seminario sobre Federalismo Fiscal,Facultad de Ciencias Económicas,Evento
10915/60271,Taller de Indicadores de Evaluación de Bibliotecas,Facultad de Humanidades y Ciencias de la Educación,Evento
10915/70739,Simposio Regional de Investigación Contable,Facultad de Ciencias Económicas,Evento
10915/74100,Jornadas de Investigación en Música JIMUS 2018,Facultad de Bellas Artes,Evento
10915/71119,Congreso Regional de Tecnología en Arquitectura (CRETA),,Evento
10915/71513,I Jornadas de Inclusión de Tecnologías Digitales en la Educación Veterinaria,Facultad de Ciencias Veterinarias,Evento
10915/36806,Eventos IRI,Facultad de Ciencias Jurídicas y Sociales,Evento
10915/74535,Encuentro Internacional de Historiadores Jóvenes sobre Sociedades Precapitalistas,Facultad de Humanidades y Ciencias de la Educación,Evento
10915/75614,Jornadas Científicas de la Facultad de Odontología,Facultad de Odontología,Evento
10915/75952,Jornadas sobre Enseñanza y Aprendizaje en el Nivel Superior en Ciencias Exactas y Naturales,Facultad de Odontología,Evento
10915/77252,ProBiota | Serie Folletos,Facultad de Ciencias Naturales y Museo,Revista
10915/78060,Avances en Energías Renovables y Medio Ambiente (AVERMA), ,Revista
10915/76917,Congreso Internacional de Enseñanza del Derecho,Facultad de Ciencias Jurídicas y Sociales,Evento
10915/76772,Congreso de Música Popular,Facultad de Bellas Artes,Evento
10915/77662,III Congreso Internacional sobre Cambio Climático y Desarrollo Sustentable, ,Evento
10915/77064,V Reunión Argentina de Geoquímica de la Superficie (RAGSU),Facultad de Ciencias Exactas,Evento
10915/77432,Congreso Internacional de Victimología,Facultad de Psicología,Evento
10915/77273,II Jornadas Iberoamericanas de Motores Térmicos y Lubricación (MTL 2016),Facultad de Ingeniería,Evento
10915/78486,Revista Electrónica de Derecho Internacional Contemporáneo (REDIC),Facultad de Ciencias Jurídicas y Sociales,Revista
10915/78123,@info,Facultad de Informática,Revista
10915/,,,
